CIN,Company_Name,Company_Class,Date_of_Incorporation,Authorized_Capital,Paidup_Capital,Company_Status,NIC_Code,Registered_Address,RoC,State
UDI00001LQ556542,TAM-Agro-1 Pvt Ltd,Private,2011-04-05,100000.0,80000.0,Active,86,"161, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00002LQ683390,TAM-Retail-2 Pvt Ltd,Public,2024-05-11,5000000.0,2500000.0,Dormant,64,"142, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00003LQ534574,TAM-Agro-3 Pvt Ltd,Private (Ltd by shares),2013-09-15,10000000.0,5000000.0,Dormant,11,"38, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00004LQ661652,TAM-Foods-4 Pvt Ltd,Public,2023-10-25,100000.0,50000.0,Active,62,"106, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00005LQ280564,TAM-Foods-5 Pvt Ltd,Private,2017-11-16,2000000.0,2000000.0,Dormant,10,"104, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00006LQ447596,TAM-Info-6 Pvt Ltd,Private,2024-10-22,5000000.0,4000000.0,Active,64,"61, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00008LQ382507,TAM-Info-8 Pvt Ltd,Private (Ltd by shares),2008-04-05,500000.0,500000.0,Dormant,63,"107, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00009LQ607993,TAM-Consult-9 Pvt Ltd,Public,2025-02-07,1000000.0,500000.0,Amalgamated,96,"133, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00010LQ631413,TAM-Retail-10 Pvt Ltd,Private (Ltd by shares),2006-09-26,300000.0,100000.0,Active,96,"35, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00011LQ134677,TAM-Retail-11 Pvt Ltd,Public,2023-01-06,200000.0,100000.0,Active,47,"13, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00012LQ229890,TAM-Info-12 Pvt Ltd,Private,2011-05-12,10000000.0,8000000.0,Amalgamated,86,"8, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00013LQ678115,TAM-Foods-13 Pvt Ltd,Private,2016-08-20,1000000.0,500000.0,Dormant,72,"89, Tamil Nadu",RoC-Chennai,Tamil Nadu
UDI00014LQ505343,TAM-Tech-14 Pvt Ltd,Private (Ltd by shares),2013-12-27,6000000.0,2500000.0,Active,10,"42, Tamil Nadu",RoC-Chennai,Tamil Nadu
